lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-104,TRAY-1181,213300,87632,44967,118,3578,405,445,405,1647,3896,3322,118,279,280,42934,5,343784,5,210072,5
LOT-104,TRAY-1185,213979,86508,44907,118,3567,405,452,405,1698,3892,3349,118,289,291,43190,5,346656,5,210299,6
LOT-104,TRAY-1190,213917,87760,44433,118,3573,405,453,404,1674,3905,3348,118,290,291,42933,5,343669,6,210429,6
LOT-104,TRAY-1195,213501,86684,44867,118,3591,404,457,405,2074,3902,3621,119,291,290,42899,5,344260,5,210424,5
LOT-104,TRAY-1199,213295,87743,44397,118,3570,404,452,405,1686,3899,3404,118,291,291,42924,5,360091,5,209480,5
LOT-104,TRAY-1200,213167,86878,44810,117,3563,404,453,404,1784,3896,3402,118,291,290,43008,4,362078,5,209575,5
LOT-104,TRAY-1202,213173,86884,44591,118,3558,406,457,405,2237,3886,3929,118,279,280,43113,5,360831,5,210206,6
LOT-104,TRAY-1203,213173,86883,44591,118,3565,405,455,406,1689,3889,3403,118,290,291,43009,4,362079,5,209576,5
LOT-104,TRAY-1206,213040,86921,44685,118,3562,405,450,405,1625,3901,3369,119,290,290,42876,6,345972,14,210380,6
LOT-104,TRAY-1209,212892,87959,43889,118,3570,405,450,406,1680,3895,3321,118,290,290,42891,5,345707,5,210347,6
LOT-104,TRAY-1214,212639,87975,43682,119,3584,405,449,405,1666,3890,3476,118,290,291,42725,5,360327,5,209647,5
LOT-104,TRAY-1215,212639,87974,43682,119,3581,405,450,405,1734,3897,3392,119,290,291,42864,5,343956,5,210256,6
LOT-104,TRAY-1219,212546,88020,43761,119,3554,405,458,404,1734,3893,3403,118,290,290,42759,5,345469,4,210140,5
LOT-104,TRAY-1222,212362,86904,43801,118,3555,405,447,404,1799,3898,3413,117,290,290,42896,8,358564,5,209704,6
LOT-104,TRAY-1237,211629,88261,42760,119,3570,405,453,405,1823,3888,3428,117,290,291,42772,5,357513,5,210219,5
LOT-104,TRAY-1241,211481,88363,43096,118,3570,405,467,405,2040,3897,3461,118,290,291,42942,5,344564,5,209869,5
LOT-104,TRAY-1252,211067,88728,42101,118,3604,405,455,405,1732,3909,3424,118,280,280,42836,5,344949,5,209938,6
LOT-105,TRAY-1164,214326,87405,44880,118,3577,404,463,405,1773,3899,3434,118,290,291,43096,5,344763,5,209497,6
