tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1059,0.058823529411764705,17,1,292.0,0.0,4299.588235294118,10.512247758741973,3623.176470588235,5.445586448189602,135.76470588235293,0.4372373160976008,2173.9411764705883,6.118318684852143,972.1176470588235,115.13789686335969,1725212635.0,LOT-100,217430,86587,4287,118,3553,405,469,405,1881,3894,3506,118,289,291,53409,5,354976,5,215709,5
TRAY-1060,0.0,25,0,287.0,0.0,4292.16,15.807909412696315,3625.6,5.008326400438875,135.8,0.40824829046386296,2164.4,6.782329983125352,1013.4,110.76551810017409,1725213570.0,LOT-101,217430,86588,4288,118,3551,405,465,406,2108,3891,3594,118,289,292,52892,7,354856,5,215593,8
TRAY-1061,0.0,25,0,297.0,0.0,4289.12,8.388086790204468,3624.08,5.106531764971838,135.76,0.4358898943540651,2165.6,5.656854249492466,991.4,107.02686578611933,1725214160.0,LOT-101,217381,86544,3853,119,3557,404,461,404,1724,3889,3423,118,290,290,53030,5,355185,5,215385,5
TRAY-1062,0.0,25,0,294.0,0.0,4295.32,13.594484175576508,3624.72,6.174679478860931,135.72,0.4582575694955836,2169.52,7.583534795858741,1018.28,132.02825455181934,1725215230.0,LOT-101,217381,86543,3854,118,3582,405,462,405,1819,3925,3512,118,290,290,53031,5,355185,5,215386,5
TRAY-1063,0.0,25,0,270.0,0.0,4317.12,6.514854820587735,3625.96,4.765151274268928,135.64,0.48989794855663665,2176.96,4.605069670120685,1026.4,103.27592491315033,1725215850.0,LOT-101,217383,86541,48349,119,3581,404,447,405,1677,3908,3483,118,290,291,42992,5,343576,5,209601,5
TRAY-1064,0.0,25,0,272.0,0.0,4297.12,31.54536416020617,3624.84,5.821511831131149,135.72,0.4582575694955836,2167.8,13.543140945388712,986.36,129.27937448281017,1725216725.0,LOT-101,217383,86542,48350,118,3583,404,454,404,1799,3916,3499,118,290,290,42990,5,344422,6,209644,5
TRAY-1065,0.0,17,0,275.0,0.0,4277.470588235294,7.357968869352034,3627.235294117647,2.795742561572654,135.94117647058823,0.24253562503633264,2154.529411764706,4.543094307006279,1048.6470588235295,60.95176492160681,1725217405.0,LOT-102,217728,86933,48198,118,3561,405,459,406,1774,3890,3421,118,289,290,42873,5,344246,5,209605,5
TRAY-1066,0.0,25,0,274.0,0.0,4272.8,9.60902353693315,3626.2,4.61880215351699,135.72,0.45825756949558066,2152.44,7.343250869562683,1023.32,95.62065676411137,1725218415.0,LOT-102,217728,86933,48197,118,3550,405,457,405,1758,3875,3440,117,290,290,42992,5,343576,5,209601,5
TRAY-1067,0.0,17,0,260.0,0.0,4303.35294117647,9.191988199449769,3627.764705882353,5.706678234366095,135.76470588235293,0.43723731609760175,2166.0588235294117,4.053865257925073,1087.2941176470588,135.23025027054885,1725219440.0,LOT-101,217617,86901,49482,118,3573,404,447,404,1838,3902,3599,117,290,291,42967,5,344824,5,209556,6
TRAY-1068,0.0,24,0,264.0,0.0,4308.666666666667,30.02269672831826,3630.0833333333335,6.958989598489366,135.75,0.44232586846468985,2168.125,17.908736027061096,1099.7083333333333,148.56955015037252,1725220015.0,LOT-102,217616,86901,49482,118,3604,404,461,405,1864,3922,3589,117,280,279,42967,5,344824,5,209556,6
